1420171236156;start
1420171235869;v2m4;1.0
1420171235876;v2m4;1.0
1420171237484;v2m15;0.75
1420171236456;v2m15;0.75
1420171236850;v2m15;0.75
1420171236815;v2m15;0.75
1420171238457;v2m15;0.75
1420171236558;v2m15;0.75
1420171237550;v2m15;0.75
1420171238980;v2m15;0.75
1420171236666;v2m15;0.75
1420171236028;v2m15;0.75
1420171239171;v2m15;0.75
1420171239507;v2m15;0.75
1420171239398;v2m15;0.75
1420171238991;v2m15;0.75
1420171237026;v2m15;0.75
1420171238204;v2m15;0.75
1420171236241;v2m15;0.75
1420171236513;v2m15;0.75
1420171237775;v2m15;0.75
1420171236439;v2m15;0.75
1420171236305;v2m15;0.75
1420171237199;v2m15;0.75
1420171236333;v2m15;0.75
1420171238272;v2m15;0.75
1420171237910;v2m15;0.75
1420171238789;v2m15;0.75
1420171238817;v2m15;0.75
1420171238528;v2m15;0.75
1420171239199;v2m15;0.75
1420171237037;v2m15;0.75
1420171237520;v2m15;0.75
1420171239538;v2m15;0.75
1420171239483;v2m15;0.75
1420171237095;v2m15;0.75
1420171237834;v2m15;0.75
1420171239009;v2m15;0.75
1420171239032;v2m15;0.75
1420171237015;v2m15;0.75
1420171236987;v2m15;0.75
1420171237786;v2m15;0.75
1420171236796;v2m15;0.75
1420171239458;v2m15;0.75
1420171236547;v2m15;0.75
1420171236502;v2m15;0.75
1420171238742;v2m15;0.75
1420171237648;v2m15;0.75
1420171239076;v2m15;0.75
1420171238087;v2m15;0.75
1420171238625;v2m15;0.75
1420171236262;v2m15;0.75
1420171239531;v2m15;0.75
1420171236694;v2m15;0.75
1420171238233;v2m15;0.75
1420171237120;v2m15;0.75
1420171238310;v2m15;0.75
1420171238571;v2m15;0.75
1420171236327;v2m15;0.75
1420171236104;v2m15;0.75
1420171237845;v2m15;0.75
1420171239111;v2m15;0.75
1420171236192;v2m15;0.75
1420171239408;v2m15;0.75
1420171237285;v2m15;0.75
1420171238027;v2m15;0.75
1420171239493;v2m15;0.75
1420171237437;v2m15;0.75
1420171239297;v2m15;0.75
1420171238107;v2m15;0.75
1420171236812;v2m15;0.75
1420171236128;v2m15;0.75
1420171238563;v2m15;0.75
1420171237380;v2m15;0.75
1420171236721;v2m15;0.75
1420171239177;v2m15;0.75
1420171239577;v2m15;0.75
1420171238888;v2m15;0.75
1420171238040;v2m15;0.75
1420171237561;v2m15;0.75
1420171237921;v2m15;0.75
1420171236517;v2m15;0.75
1420171236238;v2m15;0.75
1420171236949;v2m15;0.75
1420171236445;v2m15;0.75
1420171239419;v2m15;0.75
1420171236599;v2m15;0.75
1420171236111;v2m15;0.75
1420171239048;v2m15;0.75
1420171239487;v2m15;0.75
1420171236209;v2m15;0.75
1420171237730;v2m15;0.75
1420171237708;v2m15;0.75
1420171238054;v2m15;0.75
1420171237386;v2m15;0.75
1420171236859;v2m15;0.75
1420171239094;v2m15;0.75
1420171237062;v2m15;0.75
1420171238683;v2m15;0.75
1420171239476;v2m15;0.75
1420171236520;v2m15;0.75
1420171239619;v2m15;0.75
1420171239520;v2m15;0.75
1420171237902;v2m15;0.75
1420171238043;v2m15;0.75
1420171237977;v2m15;0.75
1420171236506;v2m15;0.75
1420171237188;v2m15;0.75
1420171237323;v2m15;0.75
1420171238713;v2m15;0.75
1420171237537;v2m15;0.75
1420171236650;v2m15;0.75
1420171238929;v2m15;0.75
1420171238899;v2m15;0.75
1420171239041;v2m15;0.75
1420171238051;v2m15;0.75
1420171239080;v2m15;0.75
1420171236397;v2m15;0.75
1420171237532;v2m15;0.75
1420171238397;v2m15;0.75
1420171238574;v2m15;0.75
1420171235892;v2m15;0.75
1420171236258;v2m15;0.75
1420171237177;v2m15;0.75
1420171237699;v2m15;0.75
1420171239341;v2m15;0.75
1420171238665;v2m15;0.75
1420171236856;v2m15;0.75
1420171235942;v2m15;0.75
1420171236625;v2m15;0.75
1420171237065;v2m15;0.75
1420171237544;v2m15;0.75
1420171238936;v2m15;0.75
1420171238170;v2m15;0.75
1420171236942;v2m15;0.75
1420171237984;v2m15;0.75
1420171238918;v2m15;0.75
1420171239426;v2m15;0.75
1420171236401;v2m15;0.75
1420171236745;v2m15;0.75
1420171235901;v2m15;0.75
1420171237426;v2m15;0.75
1420171236151;v2m15;0.75
1420171238720;v2m15;0.75
1420171236017;v2m15;0.75
1420171239604;v2m15;0.75
1420171238883;v2m15;0.75
1420171236057;v2m15;0.75
1420171239415;v2m15;0.75
1420171238731;v2m15;0.75
1420171238058;v2m15;0.75
1420171238810;v2m15;0.75
1420171237638;v2m15;0.75
1420171238378;v2m15;0.75
