1420746579158;start
1420746579217;v2m31;1.95;Map(4 -> 2, 31 -> 6, 42 -> 63);Map(2 -> 6)
1420746579216;v2m4;1.99;Map(4 -> 2, 31 -> 63, 42 -> 63);Map(2 -> 2, 1 -> 2)
1420746579217;v2m4;1.99;Map(4 -> 2, 31 -> 6, 42 -> 63);Map(2 -> 2, 1 -> 2)
1420746579218;v2m4;1.99;Map(4 -> 2, 31 -> 6, 42 -> 63);Map(2 -> 2, 1 -> 2)
1420746579217;v5m51;0.95;Map(8 -> 79, 56 -> 52, 51 -> 6);Map(5 -> 6)
1420746579218;v5m51;0.95;Map(8 -> 24, 56 -> 33, 51 -> 6);Map(5 -> 6)
1420746579217;v2m42;1.38;Map(4 -> 2, 31 -> 6, 42 -> 63);Map(2 -> 63)
1420746579217;v5m56;1.6800000000000002;Map(8 -> 24, 56 -> 33, 51 -> 6);Map(5 -> 33)
1420746579218;v5m56;1.6800000000000002;Map(8 -> 24, 56 -> 33, 51 -> 6);Map(5 -> 33)
1420746579216;v1m4;1.99;Map(44 -> 29, 4 -> 2, 45 -> 77, 21 -> 44);Map(2 -> 83, 1 -> 2)
1420746579217;v1m4;1.99;Map(44 -> 29, 4 -> 2, 45 -> 77, 21 -> 44);Map(2 -> 2, 1 -> 2)
1420746579218;v1m4;1.99;Map(44 -> 29, 4 -> 2, 45 -> 77, 21 -> 44);Map(2 -> 2, 1 -> 2)
1420746579217;v5m8;1.77;Map(8 -> 24, 56 -> 33, 51 -> 6);Map(5 -> 24)
1420746579218;v5m8;1.77;Map(8 -> 24, 56 -> 33, 51 -> 6);Map(5 -> 24)
1420746590583;finished
