1420747203567;start
1420747203616;v1m27;1.8199999999999998;Map(27 -> 19);Map(5 -> 19, 1 -> 19)
1420747203615;v9m1;1.9300000000000002;Map(1 -> 8);Map(9 -> 8, 3 -> 85)
1420747203616;v9m1;1.9300000000000002;Map(1 -> 8, 15 -> 77);Map(9 -> 8, 3 -> 8)
1420747203615;v2m4;1.18;Map();Map(8 -> 13, 2 -> 83)
1420747203616;v2m4;0.88;Map(4 -> 13, 18 -> 34);Map(8 -> 13, 2 -> 13)
1420747203615;v8m4;1.88;Map();Map(8 -> 13, 2 -> 83)
1420747203616;v8m4;1.88;Map(4 -> 13);Map(8 -> 13, 2 -> 13)
1420747203615;v10m15;1.24;Map();Map(10 -> 77, 9 -> 56)
1420747203616;v10m15;1.24;Map(15 -> 77);Map(10 -> 77, 9 -> 77)
1420747203615;v5m30;1.5699999999999998;Map(30 -> 44);Map(5 -> 44, 6 -> 98)
1420747203616;v5m30;1.5699999999999998;Map(30 -> 44);Map(5 -> 44, 6 -> 44)
1420747203615;v9m15;1.45;Map();Map(10 -> 77, 9 -> 56)
1420747203616;v9m15;1.24;Map(1 -> 8, 15 -> 77);Map(10 -> 77, 9 -> 77)
1420747203615;v2m18;1.67;Map();Map(2 -> 34, 6 -> 89)
1420747203616;v2m18;1.67;Map(4 -> 13, 18 -> 34);Map(2 -> 34, 6 -> 34)
1420747203615;v6m18;1.12;Map();Map(2 -> 34, 6 -> 89)
1420747203616;v6m18;1.67;Map(18 -> 34, 30 -> 44);Map(2 -> 34, 6 -> 34)
1420747203615;v6m30;1.03;Map(30 -> 98);Map(5 -> 44, 6 -> 98)
1420747203616;v6m30;1.5699999999999998;Map(18 -> 34, 30 -> 44);Map(5 -> 44, 6 -> 44)
1420747203615;v3m1;1.16;Map(1 -> 85);Map(9 -> 85, 3 -> 85)
1420747203616;v3m1;1.9300000000000002;Map(1 -> 8);Map(9 -> 8, 3 -> 8)
1420747203615;v5m27;1.54;Map();Map(5 -> 47, 1 -> 19)
1420747203616;v5m27;1.8199999999999998;Map(27 -> 19, 30 -> 44);Map(5 -> 19, 1 -> 19)
1420747203617;v5m27;1.8199999999999998;Map(27 -> 19, 30 -> 44);Map(5 -> 19, 1 -> 19)
1420747215128;finished
