1420747444456;start
1420747444500;v9m1;1.67;Map(1 -> 34, 42 -> 56);Map(4 -> 34, 9 -> 34)
1420747444500;v5m5;1.23;Map();Map(5 -> 78, 7 -> 8, 1 -> 43)
1420747444501;v5m5;1.9300000000000002;Map(5 -> 8, 51 -> 11);Map(5 -> 8, 7 -> 78, 1 -> 8)
1420747444502;v5m5;1.9300000000000002;Map(5 -> 8, 51 -> 11);Map(5 -> 8, 7 -> 8, 1 -> 8)
1420747444500;v4m28;1.97;Map(28 -> 4);Map(2 -> 4, 4 -> 4)
1420747444500;v8m38;1.6800000000000002;Map(38 -> 33);Map(8 -> 33, 1 -> 33)
1420747444500;v2m28;1.97;Map(51 -> 11);Map(2 -> 4, 4 -> 4)
1420747444501;v2m28;1.97;Map(51 -> 11);Map(2 -> 4, 4 -> 4)
1420747444500;v9m3;1.26;Map();Map(7 -> 35, 9 -> 75)
1420747444501;v9m3;1.6600000000000001;Map(1 -> 34, 3 -> 35, 42 -> 25);Map(7 -> 75, 9 -> 35)
1420747444502;v9m3;1.6600000000000001;Map(1 -> 34, 3 -> 35, 42 -> 25);Map(7 -> 35, 9 -> 35)
1420747444500;v10m42;1.76;Map(42 -> 25);Map(10 -> 25, 9 -> 56)
1420747444501;v10m42;1.76;Map(42 -> 25);Map(10 -> 25, 9 -> 25)
1420747444500;v5m51;1.22;Map(51 -> 79);Map(2 -> 11, 5 -> 79)
1420747444501;v5m51;1.9;Map(5 -> 43, 51 -> 11);Map(2 -> 11, 5 -> 11)
1420747444500;v1m38;1.6800000000000002;Map();Map(8 -> 21, 1 -> 33)
1420747444501;v1m38;1.6800000000000002;Map(5 -> 8);Map(8 -> 33, 1 -> 33)
1420747444500;v9m42;1.45;Map(42 -> 56);Map(10 -> 56, 9 -> 56)
1420747444501;v9m42;1.76;Map(1 -> 34, 3 -> 35, 42 -> 25);Map(10 -> 25, 9 -> 25)
1420747444500;v1m5;1.23;Map(5 -> 78);Map(5 -> 78, 7 -> 8, 1 -> 78)
1420747444501;v1m5;1.9300000000000002;Map(5 -> 8);Map(5 -> 8, 7 -> 8, 1 -> 8)
1420747444502;v1m5;1.9300000000000002;Map(5 -> 8);Map(5 -> 8, 7 -> 8, 1 -> 8)
1420747444500;v7m3;1.6600000000000001;Map();Map(7 -> 35, 9 -> 75)
1420747444501;v7m3;1.6600000000000001;Map(5 -> 8, 3 -> 35);Map(7 -> 35, 9 -> 35)
1420747444502;v7m3;1.6600000000000001;Map(5 -> 8, 3 -> 35);Map(7 -> 35, 9 -> 35)
1420747444500;v2m51;1.9;Map(51 -> 11);Map(2 -> 11, 5 -> 11)
1420747444501;v2m51;1.9;Map(51 -> 11);Map(2 -> 11, 5 -> 11)
1420747444500;v7m5;1.9300000000000002;Map();Map(5 -> 78, 7 -> 8, 1 -> 78)
1420747444501;v7m5;1.9300000000000002;Map(5 -> 8, 3 -> 75);Map(5 -> 8, 7 -> 8, 1 -> 8)
1420747444502;v7m5;1.9300000000000002;Map(5 -> 8, 3 -> 35);Map(5 -> 8, 7 -> 8, 1 -> 8)
1420747444500;v4m1;1.67;Map();Map(4 -> 34, 9 -> 61)
1420747444501;v4m1;1.67;Map(28 -> 4);Map(4 -> 34, 9 -> 34)
1420747456173;finished
