timestamp;agent;utility
14189119214;v36m2;10.0
14189119214;v34m2;10.0
14189119214;v30m2;5.0
14189119214;v31m2;5.0
14189119214;v32m2;30.0
14189119214;v35m1;5.0
14189119214;v31m1;5.0
14189119215;v32m1;5.0
14189119215;v8m2;5.0
14189119215;v23m2;5.0
14189119215;v35m2;30.0
14189119216;v38m2;5.0
14189119216;v20m2;5.0
14189119216;v33m1;30.0
14189119216;v24m1;30.0
14189119217;v39m1;5.0
14189119217;v12m2;5.0
14189119217;v21m2;5.0
14189119217;v21m1;5.0
14189119218;v27m2;10.0
14189119218;v34m1;10.0
14189119218;v13m1;5.0
14189119219;v10m1;5.0
14189119219;v22m1;10.0
14189119219;v2m1;5.0
14189119220;v28m1;5.0
14189119220;v9m1;5.0
14189119220;v22m2;30.0
14189119220;v5m2;5.0
14189119220;v36m1;5.0
14189119220;v10m2;30.0
14189119221;v2m2;5.0
14189119221;v6m1;5.0
14189119222;v16m2;5.0
14189119222;v3m1;5.0
14189119223;v11m1;5.0
14189119223;v17m1;5.0
14189119223;v24m2;5.0
14189119224;v8m1;5.0
14189119224;v29m1;30.0
14189119225;v3m2;5.0
14189119226;v17m2;5.0
14189119227;v29m2;5.0
14189119227;v18m1;10.0
14189119228;v12m1;5.0
14189119228;v34m2;5.0
14189119228;v30m1;5.0
14189119229;v4m1;5.0
14189119230;v25m1;30.0
14189119230;v30m2;5.0
14189119230;v4m2;5.0
14189119230;v18m2;30.0
14189119231;v37m2;10.0
14189119231;v40m1;5.0
14189119231;v13m2;5.0
14189119232;v26m2;5.0
14189119233;v19m1;5.0
14189119233;v31m2;5.0
14189119233;v5m1;5.0
14189119233;v36m2;5.0
14189119234;v14m1;5.0
14189119235;v19m2;5.0
14189119235;v35m1;5.0
14189119236;v1m1;5.0
14189119237;v6m2;30.0
14189119237;v31m1;10.0
14189119238;v32m2;5.0
14189119238;v23m2;5.0
14189119239;v37m1;5.0
14189119240;v27m1;5.0
14189119241;v32m1;10.0
14189119241;v7m1;5.0
14189119241;v38m2;5.0
14189119243;v16m1;5.0
14189119244;v34m1;10.0
14189119244;v24m1;10.0
14189119245;v20m2;5.0
14189119245;v15m1;5.0
14189119245;v33m1;5.0
14189119245;v35m2;30.0
14189119247;v8m2;5.0
14189119247;v22m2;30.0
14189119247;v39m1;30.0
14189119247;v12m2;10.0
14189119248;v21m2;10.0
14189119250;v27m2;5.0
14189119250;v21m1;30.0
14189119252;v8m1;5.0
14189119252;v36m1;5.0
14189119253;v13m1;5.0
14189119253;v22m1;5.0
14189119253;v9m1;5.0
14189119254;v12m1;5.0
14189119255;v24m2;5.0
14189119255;v5m2;10.0
14189119255;v2m1;10.0
14189119256;v10m1;5.0
14189119256;v10m2;30.0
14189119257;v4m2;5.0
14189119258;v40m1;5.0
14189119259;v2m2;5.0
14189119260;v6m1;5.0
14189119260;v30m1;5.0
14189119261;v28m1;5.0
14189119261;v36m2;5.0
14189119262;v25m1;30.0
14189119262;v11m1;5.0
14189119263;v5m1;5.0
14189119263;v34m2;5.0
14189119263;v37m2;10.0
14189119263;v16m2;5.0
14189119264;v3m1;10.0
14189119264;v13m2;5.0
14189119265;v3m2;5.0
14189119266;v19m2;5.0
14189119266;v26m2;5.0
14189119267;v37m1;5.0
14189119268;v29m2;5.0
14189119269;v35m1;5.0
14189119269;v17m1;5.0
14189119270;v29m1;5.0
14189119271;v14m1;5.0
14189119272;v23m2;5.0
14189119272;v34m1;10.0
14189119273;v17m2;5.0
14189119273;v1m1;5.0
14189119273;v30m2;5.0
14189119274;v4m1;5.0
14189119274;v6m2;30.0
14189119274;v15m1;5.0
14189119275;v22m2;30.0
14189119277;v18m2;5.0
14189119277;v24m1;10.0
14189119278;v18m1;5.0
14189119279;v31m1;10.0
14189119279;v27m1;5.0
14189119280;v8m1;5.0
14189119281;v12m2;10.0
14189119281;v7m1;5.0
14189119281;v12m1;5.0
14189119282;v38m2;5.0
14189119282;v31m2;5.0
14189119282;v19m1;30.0
14189119284;v4m2;5.0
14189119284;v35m2;30.0
14189119285;v40m1;5.0
14189119286;v32m2;5.0
14189119286;v16m1;5.0
14189119287;v13m1;5.0
14189119288;v39m1;30.0
14189119288;v32m1;10.0
14189119289;v36m2;5.0
14189119290;v8m2;5.0
14189119290;v5m1;5.0
14189119290;v36m1;5.0
14189119290;v5m2;10.0
14189119291;v27m2;5.0
14189119291;v20m2;5.0
14189119292;v33m1;5.0
14189119293;v19m2;5.0
14189119293;v24m2;5.0
14189119295;v21m2;10.0
14189119295;v37m1;5.0
14189119296;v9m1;5.0
14189119296;v6m1;5.0
14189119297;v2m1;10.0
14189119297;v21m1;30.0
14189119299;v25m1;30.0
14189119299;v34m1;10.0
14189119300;v34m2;5.0
14189119300;v22m1;5.0
14189119300;v15m1;5.0
14189119302;v30m1;5.0
14189119302;v13m2;5.0
14189119302;v22m2;30.0
14189119302;v28m1;5.0
14189119303;v10m1;5.0
14189119303;v10m2;30.0
14189119305;v37m2;10.0
14189119305;v35m1;5.0
14189119305;v16m2;5.0
14189119306;v2m2;5.0
