 timestamp;agent;utility
14189119549;v8m1;5.0
14189119549;v35m1;5.0
14189119550;v8m2;10.0
14189119551;v9m2;5.0
14189119552;v32m2;5.0
14189119552;v35m2;5.0
14189119553;v40m1;5.0
14189119553;v33m2;5.0
14189119553;v31m2;5.0
14189119556;v33m1;30.0
14189119556;v40m2;30.0
14189119557;v23m2;5.0
14189119558;v36m2;5.0
14189119558;v36m1;5.0
14189119558;v30m2;5.0
14189119558;v34m1;5.0
14189119558;v32m1;5.0
14189119559;v30m1;30.0
14189119560;v25m2;5.0
14189119561;v13m1;10.0
14189119561;v21m2;5.0
14189119561;v31m1;5.0
14189119562;v21m1;5.0
14189119562;v24m2;5.0
14189119563;v26m1;5.0
14189119563;v37m2;30.0
14189119563;v22m2;30.0
14189119564;v22m1;5.0
14189119564;v20m1;5.0
14189119565;v5m2;5.0
14189119565;v38m1;5.0
14189119565;v14m2;5.0
14189119566;v10m1;5.0
14189119566;v25m1;10.0
14189119566;v23m1;5.0
14189119567;v39m1;5.0
14189119567;v15m1;5.0
14189119568;v10m2;5.0
14189119568;v26m2;5.0
14189119569;v35m1;5.0
14189119570;v2m2;5.0
14189119570;v7m2;5.0
14189119570;v6m2;5.0
14189119571;v1m2;30.0
14189119571;v11m2;5.0
14189119571;v1m1;10.0
14189119572;v3m2;5.0
14189119573;v23m2;5.0
14189119573;v29m1;5.0
14189119574;v12m1;5.0
14189119574;v8m1;5.0
14189119574;v15m2;5.0
14189119575;v27m2;5.0
14189119575;v35m2;5.0
14189119576;v29m2;5.0
14189119577;v13m1;5.0
14189119577;v16m1;5.0
14189119577;v2m1;10.0
14189119577;v17m2;5.0
14189119578;v40m1;5.0
14189119578;v4m1;5.0
14189119579;v36m1;5.0
14189119579;v33m2;10.0
14189119579;v28m1;10.0
14189119581;v5m2;5.0
14189119581;v8m2;10.0
14189119582;v18m2;30.0
14189119582;v31m2;5.0
14189119582;v34m1;5.0
14189119583;v36m2;5.0
14189119583;v24m2;5.0
14189119583;v16m2;30.0
14189119584;v19m1;5.0
14189119584;v35m1;5.0
14189119585;v17m1;5.0
14189119585;v32m1;5.0
14189119586;v40m2;30.0
14189119586;v25m1;5.0
14189119586;v22m2;10.0
14189119586;v25m2;5.0
14189119588;v23m2;5.0
14189119588;v32m2;10.0
14189119589;v21m1;5.0
14189119589;v30m1;30.0
14189119589;v9m2;10.0
14189119589;v26m1;5.0
14189119590;v23m1;5.0
14189119590;v6m2;5.0
14189119591;v13m1;10.0
14189119591;v33m1;30.0
14189119591;v10m1;5.0
14189119592;v37m2;30.0
14189119593;v11m2;5.0
14189119593;v14m2;5.0
14189119593;v30m2;5.0
14189119594;v35m2;5.0
14189119595;v5m2;5.0
14189119595;v21m2;5.0
14189119596;v2m2;5.0
14189119596;v38m1;5.0
14189119596;v31m1;5.0
14189119596;v15m1;5.0
14189119597;v12m1;5.0
14189119597;v36m1;5.0
14189119598;v35m1;5.0
14189119598;v22m1;5.0
14189119598;v29m1;5.0
14189119599;v20m1;5.0
14189119599;v26m2;5.0
14189119600;v7m2;5.0
14189119601;v33m2;10.0
14189119601;v24m2;5.0
14189119601;v23m2;5.0
14189119602;v17m2;5.0
14189119602;v10m2;5.0
14189119602;v1m1;10.0
14189119603;v39m1;5.0
14189119603;v34m1;5.0
14189119603;v8m1;5.0
14189119604;v25m1;10.0
14189119604;v13m1;10.0
14189119606;v3m2;5.0
14189119606;v31m2;5.0
14189119606;v15m2;5.0
14189119606;v1m2;10.0
14189119607;v40m1;5.0
14189119607;v22m2;10.0
14189119608;v6m2;5.0
14189119608;v5m2;5.0
14189119609;v32m1;5.0
14189119609;v16m1;5.0
14189119610;v29m2;5.0
14189119610;v27m2;5.0
14189119611;v23m1;5.0
14189119611;v36m2;5.0
14189119612;v35m1;5.0
14189119612;v35m2;5.0
14189119612;v21m1;5.0
14189119613;v4m1;5.0
14189119613;v2m1;10.0
14189119614;v8m2;5.0
14189119614;v25m2;5.0
14189119615;v11m2;5.0
14189119615;v36m1;5.0
14189119615;v23m2;5.0
14189119616;v10m1;5.0
14189119616;v28m1;10.0
14189119616;v18m2;5.0
14189119617;v40m2;5.0
14189119617;v26m1;5.0
14189119617;v12m1;5.0
14189119618;v13m1;10.0
14189119619;v24m2;5.0
14189119619;v2m2;5.0
14189119619;v19m1;5.0
14189119620;v16m2;5.0
14189119621;v30m1;30.0
14189119622;v14m2;5.0
14189119622;v33m2;5.0
14189119622;v25m1;10.0
14189119623;v29m1;5.0
14189119623;v5m2;5.0
14189119624;v17m1;5.0
14189119624;v32m2;10.0
14189119625;v15m1;5.0
14189119625;v37m2;5.0
14189119625;v34m1;5.0
14189119626;v35m1;5.0
14189119626;v6m2;5.0
14189119626;v17m2;5.0
14189119627;v33m1;30.0
14189119627;v9m2;5.0
14189119627;v38m1;5.0
14189119628;v22m2;5.0
14189119628;v7m2;5.0
14189119629;v23m2;5.0
14189119630;v31m2;5.0
14189119630;v35m2;5.0
14189119630;v21m2;5.0
14189119631;v26m2;5.0
14189119631;v23m1;5.0
14189119631;v30m2;5.0
14189119632;v8m1;5.0
14189119632;v13m1;10.0
14189119633;v36m1;5.0
14189119633;v32m1;5.0
14189119633;v22m1;5.0
14189119634;v1m1;10.0
14189119634;v31m1;5.0
14189119635;v40m1;5.0
14189119635;v11m2;5.0
14189119636;v21m1;5.0
14189119636;v5m2;5.0
14189119636;v24m2;5.0
14189119637;v10m2;5.0
14189119638;v20m1;5.0
14189119638;v15m2;5.0
14189119639;v12m1;5.0
14189119639;v36m2;5.0
14189119639;v10m1;5.0
14189119640;v35m1;5.0
14189119640;v25m1;10.0
14189119641;v39m1;5.0
14189119641;v16m1;5.0
14189119641;v3m2;5.0
14189119643;v33m2;5.0
14189119643;v25m2;5.0
14189119643;v2m2;5.0
14189119643;v23m2;5.0
14189119643;v6m2;5.0
14189119644;v1m2;30.0
14189119645;v29m2;5.0
14189119645;v8m2;5.0
14189119645;v34m1;5.0
14189119646;v26m1;5.0
14189119646;v29m1;5.0
14189119647;v13m1;10.0
14189119648;v4m1;5.0
14189119648;v35m2;5.0
14189119648;v27m2;5.0
14189119649;v40m2;5.0
14189119649;v22m2;5.0
14189119649;v14m2;5.0
14189119650;v17m2;5.0
14189119650;v5m2;5.0
14189119650;v36m1;5.0
14189119651;v2m1;10.0
14189119651;v18m2;5.0
14189119652;v30m1;30.0
14189119652;v23m1;5.0
14189119652;v15m1;5.0
14189119654;v35m1;5.0
14189119654;v31m2;10.0
14189119654;v28m1;10.0
14189119655;v19m1;5.0
14189119655;v24m2;5.0
14189119656;v37m2;5.0
14189119657;v11m2;5.0
14189119657;v7m2;5.0
14189119657;v32m1;5.0
14189119658;v23m2;5.0
14189119658;v25m1;10.0
14189119658;v16m2;30.0
14189119659;v32m2;5.0
14189119659;v38m1;5.0
14189119660;v12m1;5.0
14189119660;v8m1;5.0
14189119660;v21m1;5.0
14189119660;v13m1;10.0
14189119661;v17m1;5.0
14189119661;v6m2;5.0
14189119662;v33m1;30.0
14189119663;v26m2;30.0
14189119663;v40m1;5.0
14189119663;v10m1;5.0
14189119664;v33m2;10.0
14189119664;v5m2;5.0
14189119665;v21m2;5.0
14189119666;v9m2;5.0
14189119666;v35m2;5.0
14189119666;v1m1;10.0
14189119666;v34m1;5.0
14189119667;v36m2;5.0
14189119667;v2m2;5.0
14189119667;v35m1;5.0
14189119668;v22m1;5.0
14189119668;v36m1;5.0
14189119669;v15m2;10.0
14189119669;v29m1;5.0
14189119670;v30m2;5.0
14189119670;v22m2;10.0
14189119670;v25m2;5.0
14189119671;v23m2;5.0
14189119672;v16m1;5.0
14189119672;v10m2;5.0
14189119672;v24m2;5.0
14189119672;v31m1;5.0
14189119673;v26m1;5.0
14189119673;v23m1;5.0
14189119673;v17m2;10.0
14189119674;v13m1;10.0
14189119675;v25m1;10.0
14189119675;v20m1;5.0
14189119676;v3m2;5.0
14189119676;v8m2;5.0
14189119677;v14m2;5.0
14189119677;v11m2;5.0
14189119677;v31m2;10.0
14189119678;v5m2;5.0
14189119678;v39m1;5.0
14189119679;v6m2;5.0
14189119680;v15m1;5.0
14189119680;v29m2;5.0
14189119680;v12m1;5.0
14189119680;v40m2;5.0
14189119680;v32m1;5.0
14189119681;v35m1;5.0
14189119682;v1m2;30.0
14189119683;v4m1;5.0
14189119683;v35m2;5.0
14189119683;v30m1;30.0
14189119684;v21m1;5.0
14189119684;v7m2;5.0
14189119685;v33m2;10.0
14189119685;v23m2;5.0
14189119686;v36m1;5.0
14189119686;v27m2;5.0
14189119686;v10m1;5.0
14189119687;v18m2;30.0
14189119687;v8m1;5.0
14189119687;v34m1;5.0
14189119688;v37m2;5.0
14189119688;v13m1;10.0
14189119689;v2m1;10.0
14189119690;v19m1;5.0
14189119690;v24m2;5.0
14189119690;v40m1;5.0
14189119691;v38m1;5.0
14189119691;v2m2;5.0
14189119692;v22m2;10.0
14189119692;v5m2;5.0
14189119692;v28m1;10.0
14189119693;v25m1;10.0
14189119694;v29m1;5.0
14189119694;v36m2;5.0
14189119694;v32m2;5.0
14189119695;v23m1;5.0
14189119695;v26m2;30.0
14189119696;v16m2;30.0
14189119696;v23m2;5.0
14189119697;v33m1;30.0
14189119698;v17m2;10.0
14189119698;v6m2;5.0
14189119698;v1m1;10.0
14189119698;v25m2;5.0
14189119699;v11m2;5.0
14189119699;v17m1;5.0
14189119700;v5m2;5.0
14189119701;v21m2;5.0
14189119701;v26m1;5.0
14189119702;v12m1;5.0
14189119702;v15m2;10.0
14189119702;v35m2;5.0
14189119702;v31m2;10.0
14189119703;v9m2;5.0
14189119704;v22m1;5.0
14189119705;v16m1;5.0
14189119705;v23m2;5.0
14189119705;v14m2;5.0
14189119706;v33m2;10.0
14189119706;v24m2;5.0
14189119706;v2m2;5.0
14189119708;v30m2;5.0
14189119708;v10m2;5.0
14189119708;v15m1;5.0
14189119709;v5m2;5.0
14189119709;v8m2;10.0
14189119710;v22m2;10.0
14189119710;v17m2;10.0
14189119710;v6m2;5.0
14189119711;v31m1;5.0
14189119713;v3m2;5.0
14189119713;v7m2;5.0
14189119713;v40m2;30.0
14189119714;v23m2;5.0
14189119714;v20m1;5.0
14189119715;v11m2;5.0
14189119715;v31m2;5.0
14189119715;v35m2;5.0
14189119717;v39m1;5.0
14189119717;v30m1;30.0
14189119717;v29m2;5.0
14189119717;v36m2;5.0
14189119718;v5m2;5.0
14189119719;v33m2;10.0
14189119719;v2m2;5.0
14189119719;v24m2;5.0
14189119720;v4m1;5.0
14189119721;v1m2;5.0
14189119721;v37m2;30.0
14189119721;v25m2;5.0
14189119723;v23m2;5.0
14189119724;v22m2;10.0
14189119724;v17m2;5.0
14189119724;v6m2;5.0
14189119724;v38m1;5.0
14189119724;v18m2;30.0
14189119725;v27m2;5.0
14189119726;v14m2;5.0
14189119727;v5m2;5.0
14189119728;v19m1;5.0
14189119729;v2m1;10.0
14189119729;v11m2;5.0
14189119729;v26m2;5.0
14189119729;v35m2;5.0
14189119729;v31m2;5.0
14189119731;v7m2;5.0
14189119732;v28m1;10.0
14189119732;v1m1;10.0
14189119732;v23m2;5.0
14189119733;v32m2;5.0
14189119734;v33m2;10.0
14189119734;v24m2;5.0
14189119734;v2m2;5.0
14189119736;v36m2;5.0
14189119737;v16m2;5.0
14189119737;v15m2;5.0
14189119737;v5m2;5.0
14189119738;v21m2;5.0
14189119739;v22m2;10.0
14189119739;v17m2;5.0
14189119739;v6m2;5.0
14189119740;v17m1;5.0
14189119740;v16m1;5.0
14189119741;v25m2;5.0
14189119742;v23m2;5.0
14189119742;v10m2;5.0
14189119743;v11m2;5.0
14189119744;v31m2;5.0
14189119744;v35m2;5.0
14189119745;v9m2;5.0
14189119745;v8m2;10.0
14189119745;v14m2;5.0
14189119747;v5m2;5.0
14189119747;v3m2;5.0
14189119748;v33m2;10.0
14189119749;v2m2;5.0
14189119749;v24m2;5.0
14189119750;v30m2;5.0
14189119750;v40m2;30.0
14189119751;v7m2;5.0
14189119752;v23m2;5.0
14189119752;v29m2;5.0
14189119753;v22m2;10.0
14189119753;v17m2;5.0
14189119754;v6m2;5.0
14189119754;v1m2;30.0
14189119755;v37m2;30.0
14189119756;v36m2;5.0
14189119756;v5m2;5.0
14189119756;v18m2;30.0
14189119758;v11m2;5.0
14189119758;v31m2;5.0
14189119759;v35m2;5.0
14189119759;v27m2;5.0
14189119760;v26m2;5.0
14189119760;v25m2;5.0
14189119761;v23m2;5.0
14189119761;v32m2;5.0
14189119763;v33m2;10.0
14189119763;v2m2;5.0
14189119763;v24m2;5.0
14189119763;v16m2;30.0
14189119764;v15m2;5.0
14189119765;v14m2;5.0
14189119766;v5m2;5.0
14189119766;v21m2;5.0
14189119767;v22m2;10.0
14189119767;v17m2;5.0
14189119768;v6m2;5.0
14189119768;v9m2;5.0
14189119769;v8m2;10.0
14189119770;v7m2;5.0
14189119770;v23m2;5.0
14189119770;v10m2;5.0
14189119772;v11m2;5.0
14189119772;v31m2;5.0
14189119772;v35m2;5.0
14189119773;v30m2;5.0
14189119773;v40m2;30.0
14189119774;v36m2;5.0
14189119774;v5m2;5.0
14189119775;v3m2;5.0
14189119776;v33m2;10.0
14189119776;v2m2;5.0
14189119776;v24m2;5.0
14189119777;v1m2;30.0
14189119778;v37m2;30.0
14189119778;v25m2;5.0
14189119779;v23m2;5.0
14189119779;v29m2;5.0
14189119780;v22m2;10.0
14189119780;v17m2;5.0
14189119781;v6m2;5.0
14189119781;v27m2;5.0
14189119782;v26m2;5.0
14189119782;v14m2;5.0
14189119783;v5m2;5.0
14189119784;v18m2;30.0
14189119785;v11m2;5.0
14189119785;v31m2;5.0
14189119785;v35m2;5.0
14189119785;v16m2;30.0
14189119786;v15m2;5.0
14189119787;v7m2;5.0
14189119788;v23m2;5.0
14189119788;v32m2;5.0
14189119789;v33m2;10.0
14189119789;v2m2;5.0
14189119789;v24m2;5.0
14189119790;v9m2;5.0
14189119790;v8m2;10.0
14189119791;v36m2;5.0
14189119791;v5m2;5.0
14189119792;v21m2;5.0
14189119793;v17m2;5.0
14189119793;v22m2;10.0
14189119793;v6m2;5.0
14189119794;v30m2;5.0
14189119794;v40m2;30.0
14189119795;v25m2;5.0
14189119795;v23m2;5.0
14189119796;v10m2;5.0
14189119797;v35m2;5.0
14189119797;v31m2;5.0
14189119797;v11m2;5.0
14189119798;v1m2;30.0
14189119798;v37m2;30.0
14189119799;v14m2;5.0
14189119800;v5m2;5.0
14189119801;v3m2;5.0
14189119802;v33m2;10.0
14189119802;v24m2;5.0
14189119802;v2m2;5.0
14189119803;v27m2;5.0
14189119803;v26m2;5.0
14189119804;v7m2;5.0
14189119804;v23m2;5.0
14189119805;v29m2;5.0
14189119806;v17m2;5.0
14189119806;v22m2;10.0
14189119806;v6m2;5.0
14189119807;v16m2;30.0
14189119808;v15m2;5.0
14189119808;v36m2;5.0
14189119809;v5m2;5.0
14189119809;v18m2;30.0
14189119811;v31m2;5.0
14189119811;v11m2;5.0
14189119811;v35m2;5.0
14189119812;v9m2;5.0
14189119813;v8m2;10.0
14189119814;v25m2;5.0
14189119815;v23m2;5.0
14189119815;v32m2;5.0
14189119816;v2m2;5.0
14189119816;v33m2;10.0
14189119816;v24m2;5.0
14189119817;v40m2;30.0
14189119817;v30m2;5.0
14189119818;v14m2;5.0
14189119819;v21m2;5.0
14189119819;v5m2;5.0
14189119820;v17m2;5.0
14189119820;v22m2;10.0
14189119820;v6m2;5.0
14189119821;v37m2;30.0
14189119822;v1m2;30.0
14189119822;v7m2;5.0
14189119823;v10m2;5.0
14189119824;v31m2;5.0
14189119824;v35m2;5.0
14189119824;v11m2;5.0
14189119825;v26m2;5.0
14189119825;v27m2;5.0
14189119825;v36m2;5.0
14189119826;v3m2;5.0
14189119827;v2m2;5.0
14189119827;v24m2;5.0
