timestamp;agent;utility
14189097270;v34m2;5.0
14189097270;v21m2;5.0
14189097270;v35m2;5.0
14189097270;v33m2;5.0
14189097275;v35m1;5.0
14189097275;v32m1;5.0
14189097275;v23m2;5.0
14189097275;v36m1;5.0
14189097275;v34m1;5.0
14189097276;v22m1;5.0
14189097276;v20m2;5.0
14189097276;v9m2;5.0
14189097276;v8m1;5.0
14189097276;v24m2;30.0
14189097276;v22m2;5.0
14189097276;v40m2;5.0
14189097279;v24m1;5.0
14189097279;v21m1;5.0
14189097279;v11m1;5.0
14189097280;v12m2;5.0
14189097280;v25m1;5.0
14189097280;v23m1;5.0
14189097281;v3m2;5.0
14189097281;v13m2;30.0
14189097281;v11m2;5.0
14189097282;v30m2;5.0
14189097282;v29m2;5.0
14189097282;v36m2;10.0
14189097283;v30m1;5.0
14189097283;v13m1;5.0
14189097284;v10m1;5.0
14189097285;v39m2;5.0
14189097285;v4m1;5.0
14189097285;v14m1;5.0
14189097285;v12m1;30.0
14189097285;v2m2;5.0
14189097285;v18m2;30.0
14189097286;v28m2;5.0
14189097286;v6m1;5.0
14189097286;v6m2;5.0
14189097286;v31m1;5.0
14189097286;v4m2;10.0
14189097286;v17m2;5.0
14189097287;v25m2;5.0
14189097287;v37m2;5.0
14189097289;v19m1;5.0
14189097289;v7m1;5.0
14189097289;v5m1;5.0
14189097290;v18m1;30.0
14189097290;v19m2;5.0
14189097290;v38m2;5.0
14189097291;v26m2;5.0
14189097291;v14m2;10.0
14189097294;v34m2;5.0
14189097294;v1m2;5.0
14189097295;v32m1;5.0
14189097296;v1m1;10.0
14189097297;v8m1;5.0
14189097297;v35m2;5.0
14189097297;v21m2;30.0
14189097298;v27m2;5.0
14189097299;v35m1;5.0
14189097299;v33m2;10.0
14189097300;v27m1;5.0
14189097300;v36m1;5.0
14189097301;v2m1;5.0
14189097301;v22m1;5.0
14189097302;v20m2;5.0
14189097302;v34m1;5.0
14189097302;v36m2;10.0
14189097303;v15m2;5.0
14189097303;v28m1;5.0
14189097303;v11m1;5.0
14189097303;v23m2;10.0
14189097304;v21m1;10.0
14189097304;v24m2;10.0
14189097305;v16m2;30.0
14189097305;v16m1;5.0
14189097306;v24m1;5.0
14189097306;v22m2;5.0
14189097306;v25m2;5.0
14189097306;v10m1;5.0
14189097307;v25m1;5.0
14189097307;v3m2;5.0
14189097307;v17m1;5.0
14189097308;v23m1;5.0
14189097309;v40m2;5.0
14189097309;v12m2;5.0
14189097310;v14m2;10.0
14189097310;v39m2;5.0
14189097310;v13m2;30.0
14189097310;v29m2;5.0
14189097311;v9m2;5.0
14189097311;v30m1;5.0
14189097311;v11m2;5.0
14189097311;v13m1;5.0
14189097312;v8m1;5.0
14189097312;v14m1;5.0
14189097312;v4m1;5.0
14189097313;v2m2;5.0
14189097313;v12m1;5.0
14189097314;v6m1;5.0
14189097315;v37m2;5.0
14189097315;v30m2;5.0
14189097315;v36m2;10.0
14189097316;v18m2;5.0
14189097316;v6m2;10.0
14189097316;v28m2;30.0
14189097317;v31m1;5.0
14189097317;v4m2;5.0
14189097317;v34m2;5.0
14189097318;v19m1;5.0
14189097318;v7m1;10.0
14189097318;v26m2;5.0
14189097319;v25m2;5.0
14189097319;v5m1;5.0
14189097319;v35m1;5.0
14189097320;v17m2;10.0
14189097320;v1m1;10.0
14189097320;v38m2;5.0
14189097321;v21m2;10.0
14189097321;v35m2;5.0
14189097322;v14m2;10.0
14189097322;v18m1;5.0
14189097322;v19m2;5.0
14189097323;v27m1;5.0
14189097323;v23m2;5.0
14189097324;v22m1;5.0
14189097324;v36m1;5.0
14189097324;v1m2;5.0
14189097324;v8m1;5.0
14189097324;v32m1;5.0
14189097325;v24m1;5.0
14189097326;v15m2;5.0
14189097326;v11m1;5.0
14189097326;v33m2;10.0
14189097327;v24m2;10.0
14189097327;v27m2;5.0
14189097328;v36m2;10.0
14189097328;v20m2;5.0
14189097328;v16m1;5.0
14189097328;v34m1;5.0
14189097328;v12m2;5.0
14189097329;v25m1;5.0
14189097329;v3m2;5.0
14189097329;v2m1;5.0
14189097330;v21m1;10.0
14189097331;v13m1;5.0
14189097331;v25m2;5.0
14189097331;v22m2;5.0
14189097332;v40m2;5.0
14189097332;v28m1;5.0
14189097332;v10m1;5.0
14189097333;v13m2;30.0
14189097333;v29m2;5.0
14189097333;v6m1;5.0
14189097334;v23m1;5.0
14189097334;v30m1;5.0
14189097334;v14m2;10.0
14189097335;v14m1;5.0
14189097335;v16m2;30.0
14189097335;v4m1;5.0
14189097335;v39m2;5.0
14189097336;v34m2;5.0
14189097337;v8m1;5.0
14189097337;v11m2;5.0
14189097337;v37m2;5.0
14189097337;v17m1;5.0
14189097338;v18m2;5.0
14189097338;v35m1;5.0
14189097338;v6m2;10.0
14189097339;v2m2;5.0
