timestamp;utility
2;0
3;0
4;-10
5;-10
6;-10
7;10
8;30
9;10
10;0
11;-30
12;0
13;50
14;10
15;-40
16;40
17;10
18;-30
19;50
20;-30
21;20
22;30
23;-30
24;40
25;20
26;-40
27;50
28;-30
29;50
30;-30
31;50
32;-30
33;50
34;-30
35;50
36;-30
37;50
38;-30
39;50
40;-30
41;50
42;-30
43;50
44;-30
45;50
46;-10
47;0
48;50
49;-30
50;50
51;-30
52;50
53;-30
54;50
55;-30
56;50
57;-30
58;40
59;20
60;-20
61;50
62;-20
63;50
64;-30
65;40
66;-10
67;30
68;-10
69;40
70;-10
71;10
72;40
73;-20
74;20
75;0
76;30
77;-20
78;50
79;-30
80;30
81;30
82;-20
83;60
84;-20
85;50
86;-30
87;50
88;-30
89;50
90;10
91;-20
92;50
93;-30
94;50
95;-30
96;50
97;10
98;-10
99;40
100;-10
101;10
102;20
103;-10
104;60
105;-10
106;-10
107;50
108;10
109;-20
110;30
111;40
112;0
113;-10
114;50
115;10
116;-20
117;30
118;50
119;20
120;-30
121;50
122;10
123;-20
124;50
125;-30
126;20
127;50
128;10
129;-20
130;50
131;20
132;-10
133;0
134;50
135;-10
136;0
137;50
138;10
139;-20
140;50
141;10
142;-20
143;50
144;20
145;-30
146;30
147;50
148;-20
149;20
150;60
151;0
152;-20
153;50
154;-30
155;60
156;20
157;-30
158;20
159;50
160;-10
161;10
162;40
163;0
164;-10
165;60
166;0
167;-20
168;30
169;40
170;-30
171;30
172;40
173;-30
174;50
175;20
176;-30
177;50
178;10
179;-20
180;50
181;20
182;-30
183;50
184;10
185;-20
186;50
187;10
188;-20
189;50
190;10
191;-20
192;30
193;50
194;-30
195;50
196;10
197;-20
198;60
199;-30
200;50
201;20
202;-30
203;50
204;10
205;20
206;20
207;-30
208;30
209;40
210;-10
211;0
212;40
213;30
214;-30
215;50
216;10
217;-20
218;50
219;0
220;-10
221;50
222;20
223;-10
224;0
225;50
226;-30
227;40
228;30
229;-10
230;0
231;20
232;60
233;10
234;0
235;0
236;40
237;20
238;0
239;-10
240;20
241;40
242;30
243;20
244;0
245;-10
246;20
247;60
248;20
249;-30
250;30
251;40
252;-30
253;50
254;10
255;-20
256;30
257;40
258;-30
259;20
260;50
261;20
262;-30
263;20
264;30
265;40
266;0
267;0
268;60
269;0
270;0
271;30
272;70
273;20
274;0
275;20
276;40
277;70
278;30
