timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;inf;inf;inf;102.616666666667;102.616666666667;102.616666666667;64.0904761904762;64.0904761904762;64.0904761904762
2;inf;inf;inf;2079.96666666665;2079.96666666665;2079.96666666665;2589.28809523809;2589.28809523809;2589.28809523809
3;inf;inf;inf;6354.51666666681;6354.51666666681;6354.51666666681;7965.5;7965.5;7965.5
4;inf;inf;inf;6637.48333333355;6637.48333333355;6637.48333333355;8222.5;8222.5;8222.5
5;inf;inf;inf;4728.13333333336;4728.13333333336;4728.13333333336;5943.5;5943.5;5943.5
6;inf;inf;inf;5211.8166666668;5211.8166666668;5211.8166666668;6364;6364;6364
7;inf;inf;inf;5508.3666666667;5508.3666666667;5508.3666666667;6641;6641;6641
8;inf;inf;inf;7411.73333333358;7411.73333333358;7411.73333333358;9034.5;9034.5;9034.5
9;inf;inf;inf;7519.16666666704;7519.16666666704;7519.16666666704;9143.5;9143.5;9143.5
10;inf;inf;inf;6606.93333333368;6606.93333333368;6606.93333333368;7931;7931;7931
11;inf;inf;inf;8672.30000000045;8672.30000000045;8672.30000000045;10523;10523;10523
12;inf;inf;inf;11069.75;11069.75;11069.75;13324;13324;13324
13;inf;inf;inf;6607.03333333355;6607.03333333355;6607.03333333355;8068.5;8068.5;8068.5
14;inf;inf;inf;5460.8000000001;5460.8000000001;5460.8000000001;6719;6719;6719
15;inf;inf;inf;6009.40000000014;6009.40000000014;6009.40000000014;7449;7449;7449
16;inf;inf;inf;5732.43333333351;5732.43333333351;5732.43333333351;7081.5;7081.5;7081.5
17;inf;inf;inf;3356.91666666665;3356.91666666665;3356.91666666665;4154.5;4154.5;4154.5
18;inf;inf;inf;3540.76666666667;3540.76666666667;3540.76666666667;4343;4343;4343
19;inf;inf;inf;3587.64999999999;3587.64999999999;3587.64999999999;4505.5;4505.5;4505.5
20;inf;inf;inf;3642.75;3642.75;3642.75;4543;4543;4543
21;inf;inf;inf;2249.24999999998;2249.24999999998;2249.24999999998;2915;2915;2915
22;inf;inf;inf;753.133333333334;753.133333333334;753.133333333334;961.5;961.5;961.5
23;inf;inf;inf;209.6;209.6;209.6;258.5;258.5;258.5
24;inf;inf;inf;209.6;209.6;209.6;258.5;258.5;258.5
25;inf;inf;inf;2452.13333333333;2452.13333333333;2452.13333333333;2806.5;2806.5;2806.5
26;inf;inf;inf;2582.73333333333;2582.73333333333;2582.73333333333;2965;2965;2965
27;inf;inf;inf;2243.44999999998;2243.44999999998;2243.44999999998;2725.5;2725.5;2725.5
28;inf;inf;inf;1907.11666666666;1907.11666666666;1907.11666666666;2419;2419;2419
29;0.531881666666668;0.531881666666668;0.531881666666668;1160.1;1160.1;1160.1;1398.5;1398.5;1398.5
