timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;4.1624;4.1082;16.6496;65.375;61;261.5;45.4708333333333;44.1916666666666;181.883333333333
2;6.46146666666666;7.63679999999999;19.3844;103.9;102.2;311.7;67.0833333333333;73;201.25
3;9.4358;9.4358;18.8716;153.85;153.85;307.7;102.625;102.625;205.25
4;8.4728;8.4728;16.9456;141.35;141.35;282.7;95.15;95.15;190.3
5;12.4794;12.4794;24.9588;204.85;204.85;409.7;138.225;138.225;276.45
6;13.04;13.04;26.08;210.225;210.225;420.45;138.65;138.65;277.3
7;16.1488;16.1488;32.2976;267.975;267.975;535.95;176.4;176.4;352.8
8;16.755;16.755;33.5099999999999;258.475;258.475;516.95;173.675;173.675;347.35
9;17.3608;17.3608;34.7216;269.225;269.225;538.45;179.5;179.5;359
10;17.5811999999999;17.5811999999999;35.1623999999999;274.225;274.225;548.45;183.15;183.15;366.3
11;16.4878;16.4878;32.9756;252.975;252.975;505.95;168.975;168.975;337.95
12;15.6876;15.6876;31.3752;244.975;244.975;489.95;161.65;161.65;323.3
13;20.8478;20.8478;41.6956;322.975;322.975;645.95;211.45;211.45;422.9
14;25.6316;25.6316;25.6316;356.2;356.2;356.2;234.8;234.8;234.8
15;23.1019999999999;23.1019999999999;23.1019999999999;321.2;321.2;321.2;214.8;214.8;214.8
