timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;1.46666666666667;1.46666666666667;1.46666666666667;7.33333333333333;7.33333333333333;7.33333333333333;4.33333333333333;4.33333333333333;4.33333333333333
2;1.79666666666667;1.79666666666667;1.79666666666667;8.33333333333333;8.33333333333333;8.33333333333333;5;5;5
3;9.17333333333334;9.17333333333334;9.17333333333334;36;36;36;21.3333333333333;21.3333333333333;21.3333333333333
4;6.55;6.55;6.55;26;26;26;15.3333333333333;15.3333333333333;15.3333333333333
5;6.88;6.88;6.88;27;27;27;16;16;16
6;7.21;7.21;7.21;28;28;28;16.6666666666667;16.6666666666667;16.6666666666667
7;6.88;6.88;6.88;27;27;27;16;16;16
8;9.17333333333334;9.17333333333334;9.17333333333334;36;36;36;21.3333333333333;21.3333333333333;21.3333333333333
9;8.84083333333333;8.84083333333333;8.84083333333333;35.6666666666667;35.6666666666667;35.6666666666667;21.3333333333333;21.3333333333333;21.3333333333333
10;8.865;8.865;8.865;35.6666666666667;35.6666666666667;35.6666666666667;15.3333333333333;15.3333333333333;15.3333333333333
11;9.42916666666667;9.42916666666667;9.42916666666667;38;38;38;13.9166666666667;13.9166666666667;13.9166666666667
12;10.4458333333333;10.4458333333333;10.4458333333333;42;42;42;15.75;15.75;15.75
13;11.225;11.225;11.225;45;45;45;16.6666666666667;16.6666666666667;16.6666666666667
14;13.8;13.8;13.8;55;55;55;20.3333333333333;20.3333333333333;20.3333333333333
15;10.5633333333333;10.5633333333333;10.5633333333333;43;43;43;15.6666666666667;15.6666666666667;15.6666666666667
16;10.9083333333333;10.9083333333333;10.9083333333333;44;44;44;16;16;16
17;14.1183333333333;14.1183333333333;14.1183333333333;56;56;56;21.3333333333333;21.3333333333333;21.3333333333333
18;12.4891666666667;12.4891666666667;12.4891666666667;50;50;50;18.5;18.5;18.5
19;14.7808333333333;14.7808333333333;14.7808333333333;59;59;59;21.8333333333333;21.8333333333333;21.8333333333333
20;13.47;13.47;13.47;54;54;54;20;20;20
21;16.1641666666667;16.1641666666667;16.1641666666667;65;65;65;23.9166666666667;23.9166666666667;23.9166666666667
22;15.5508333333333;15.5508333333333;15.5508333333333;62;62;62;23.0833333333333;23.0833333333333;23.0833333333333
23;15.9141666666667;15.9141666666667;15.9141666666667;64;64;64;23.5833333333333;23.5833333333333;23.5833333333333
24;14.8841666666667;14.8841666666667;14.8841666666667;61;61;61;22.25;22.25;22.25
25;16.71;16.71;16.71;66;66;66;24.6666666666667;24.6666666666667;24.6666666666667
26;15.3833333333333;15.3833333333333;15.3833333333333;62;62;62;22.6666666666667;22.6666666666667;22.6666666666667
27;18.2916666666667;18.2916666666667;18.2916666666667;73;73;73;27.3333333333333;27.3333333333333;27.3333333333333
28;18.245;18.245;18.245;73;73;73;27;27;27
29;17.675;17.675;17.675;71;71;71;26.3333333333333;26.3333333333333;26.3333333333333
30;17.96;17.96;17.96;72;72;72;26.6666666666667;26.6666666666667;26.6666666666667
31;17.63;17.63;17.63;71;71;71;26.3333333333333;26.3333333333333;26.3333333333333
32;16.045;16.045;16.045;64;64;64;23.6666666666667;23.6666666666667;23.6666666666667
33;15.715;15.715;15.715;63;63;63;23.3333333333333;23.3333333333333;23.3333333333333
34;20.205;20.205;20.205;81;81;81;30;30;30
35;17.96;17.96;17.96;72;72;72;26.6666666666667;26.6666666666667;26.6666666666667
36;20.49;20.49;20.49;82;82;82;30.3333333333333;30.3333333333333;30.3333333333333
37;19.8858333333333;19.8858333333333;19.8858333333333;80;80;80;29.3333333333333;29.3333333333333;29.3333333333333
38;18.7733333333333;18.7733333333333;18.7733333333333;75;75;75;27.9166666666666;27.9166666666666;27.9166666666666
39;24.695;24.695;24.695;99;99;99;36.6666666666667;36.6666666666667;36.6666666666667
40;17.63;17.63;17.63;71;71;71;26.3333333333333;26.3333333333333;26.3333333333333
41;22.78;22.78;22.78;91;91;91;33.6666666666666;33.6666666666666;33.6666666666666
42;17.96;17.96;17.96;72;72;72;26.6666666666666;26.6666666666666;26.6666666666666
43;22.12;22.12;22.12;89;89;89;33;33;33
44;21.8016666666667;21.8016666666667;21.8016666666667;88;88;88;32;32;32
45;21.1833333333333;21.1833333333333;21.1833333333333;84;84;84;31.6666666666666;31.6666666666666;31.6666666666666
46;18.29;18.29;18.29;73;73;73;27;27;27
47;22.735;22.735;22.735;91;91;91;33.6666666666667;33.6666666666667;33.6666666666667
48;21.5033333333333;21.5033333333333;21.5033333333333;87;87;87;32;32;32
