timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;5.62275324675325;5.73254545454545;39.3592727272727;326.714285714286;330;2287;234.330272108844;250.5;1640.31190476191
2;6.67566233766233;6.12536363636365;46.7296363636363;389.428571428571;359;2726;295.842857142858;275;2070.90000000001
3;6.31805194805194;5.41872727272727;44.2263636363636;369.285714285714;325;2585;281.721428571429;256.200000000001;1972.05000000001
4;6.15492207792206;5.21572727272728;43.0844545454544;359.714285714286;323;2518;273.547619047619;249.066666666668;1914.83333333334
5;6.20940259740258;5.207;43.4658181818181;362.571428571429;317;2538;275.478571428572;250.033333333334;1928.35
6;6.36144155844155;5.21572727272727;44.5300909090908;371.571428571429;323;2601;282.564285714286;240.366666666668;1977.95000000001
7;6.14567532467531;5.26372727272727;43.0197272727272;359.142857142857;326;2514;273.007142857143;240.400000000001;1911.05
8;6.11651948051946;5.24772727272727;42.8156363636362;357.285714285714;325;2501;271.450000000001;229.200000000001;1900.15000000001
9;6.48128787878786;5.5375;38.8877272727272;375.5;322.5;2253;289.025000000001;256.383333333334;1734.15000000001
10;6.4222121212121;5.60718181818181;38.5332727272726;372;326.5;2232;286.147222222223;259.808333333334;1716.88333333334
11;5.66898484848484;4.92359090909092;34.0139090909091;329.333333333333;287;1976;257.880555555556;236.483333333334;1547.28333333334
12;5.50953030303029;4.91645454545455;33.0571818181818;320.166666666667;287;1921;251.294444444445;236.733333333334;1507.76666666667
13;5.38196969696969;4.82618181818181;32.2918181818182;312.666666666667;278.5;1876;245.772222222223;229.850000000001;1474.63333333334
14;5.50547272727272;4.75300000000002;27.5273636363636;319.2;280;1596;251.640000000001;229.400000000001;1258.2
15;5.24650909090909;4.7688181818182;26.2325454545455;304.2;276;1521;240.663333333334;229.233333333334;1203.31666666667
16;5.09690909090909;4.63209090909093;25.4845454545455;295.6;269;1478;233.79;220.400000000001;1168.95
17;5.4092;4.79136363636363;27.046;313.6;277;1568;248.050000000001;230.200000000001;1240.25000000001
18;5.41292727272727;4.8620909090909;27.0646363636363;313.8;285;1569;248.453333333334;233.433333333334;1242.26666666667
19;5.37314545454546;4.74045454545455;26.8657272727273;311.4;273;1557;246.746666666667;223.600000000001;1233.73333333334
20;4.58820454545454;4.41809090909091;18.3528181818182;265.25;256;1061;218.408333333334;210.000000000001;873.633333333335
21;4.58329545454546;4.40286363636365;18.3331818181819;265;256.5;1060;218.225000000001;210.500000000001;872.900000000002
22;4.65231818181818;4.67095454545454;18.6092727272727;269;272;1076;221.383333333334;222.9;885.533333333335
23;4.82109090909091;4.75754545454545;14.4632727272727;280;274;840;230.577777777778;224.400000000001;691.733333333335
24;5.38345454545454;5.38345454545454;5.38345454545454;311;311;311;257.866666666668;257.866666666668;257.866666666668
25;5.10163636363636;5.10163636363636;5.10163636363636;295;295;295;245.100000000001;245.100000000001;245.100000000001
26;4.94609090909091;4.94609090909091;4.94609090909091;286;286;286;237.700000000001;237.700000000001;237.700000000001
27;4.93181818181818;4.93181818181818;4.93181818181818;285;285;285;236.533333333334;236.533333333334;236.533333333334
28;4.77454545454545;4.77454545454545;4.77454545454545;276;276;276;229.466666666667;229.466666666667;229.466666666667
29;5.59136363636363;5.59136363636363;5.59136363636363;323;323;323;267.500000000001;267.500000000001;267.500000000001
30;5.48599999999999;5.48599999999999;5.48599999999999;317;317;317;262.733333333334;262.733333333334;262.733333333334
31;4.621;4.621;4.621;267;267;267;221.933333333334;221.933333333334;221.933333333334
32;4.34318181818182;4.34318181818182;4.34318181818182;251;251;251;208.866666666667;208.866666666667;208.866666666667
33;4.86363636363637;4.86363636363637;4.86363636363637;281;281;281;233.266666666667;233.266666666667;233.266666666667
34;4.75972727272727;4.75972727272727;4.75972727272727;275;275;275;228.366666666667;228.366666666667;228.366666666667
35;4.53354545454545;4.53354545454545;4.53354545454545;262;262;262;217.866666666667;217.866666666667;217.866666666667
36;4.56927272727272;4.56927272727272;4.56927272727272;264;264;264;219.366666666667;219.366666666667;219.366666666667
37;4.81390909090909;4.81390909090909;4.81390909090909;278;278;278;230.566666666667;230.566666666667;230.566666666667
38;4.74036363636363;4.74036363636363;4.74036363636363;274;274;274;227.733333333334;227.733333333334;227.733333333334
39;4.82845454545455;4.82845454545455;4.82845454545455;279;279;279;231.633333333334;231.633333333334;231.633333333334
40;4.95118181818182;4.95118181818182;4.95118181818182;286;286;286;237.200000000001;237.200000000001;237.200000000001
41;5.31363636363636;5.31363636363636;5.31363636363636;307;307;307;254.433333333334;254.433333333334;254.433333333334
42;5.20954545454545;5.20954545454545;5.20954545454545;301;301;301;249.666666666668;249.666666666668;249.666666666668
43;5.71081818181817;5.71081818181817;5.71081818181817;330;330;330;273.466666666668;273.466666666668;273.466666666668
44;5.27772727272727;5.27772727272727;5.27772727272727;305;305;305;253.000000000001;253.000000000001;253.000000000001
45;4.93090909090909;4.93090909090909;4.93090909090909;285;285;285;236.666666666667;236.666666666667;236.666666666667
46;5.53381818181818;5.53381818181818;5.53381818181818;320;320;320;265.566666666668;265.566666666668;265.566666666668
47;5.18936363636363;5.18936363636363;5.18936363636363;300;300;300;249.100000000001;249.100000000001;249.100000000001
48;5.0500909090909;5.0500909090909;5.0500909090909;292;292;292;242.700000000001;242.700000000001;242.700000000001
49;4.77527272727273;4.77527272727273;4.77527272727273;276;276;276;229.500000000001;229.500000000001;229.500000000001
50;3.94536363636363;3.94536363636363;3.94536363636363;228;228;228;190.1;190.1;190.1
51;5.15709090909091;5.15709090909091;5.15709090909091;298;298;298;247.366666666668;247.366666666668;247.366666666668
52;5.41627272727272;5.41627272727272;5.41627272727272;313;313;313;259.533333333335;259.533333333335;259.533333333335
53;4.91172727272727;4.91172727272727;4.91172727272727;284;284;284;236.133333333334;236.133333333334;236.133333333334
54;4.91263636363636;4.91263636363636;4.91263636363636;284;284;284;235.933333333334;235.933333333334;235.933333333334
