timestamp;utility;agent_index;meeting_index 
1;1.298;14;5.9;
2;1.598;17;8.15;
3;2.3055;25;16.95;
4;1.99;22;18.25;
5;2.581;29;25.05;
6;2.081;23;20.25;
7;2.231;25;22.3;
8;2.088;22;20.1;
9;1.9885;21;19.45;
10;2.382;25;23.5;
11;2.0795;23;21.9;
12;2.0305;22;20.9;
13;1.984;22;20.9;
14;2.038;22;21.05;
15;2.087;22;21.05;
16;2.6805;28;26.75;
17;1.8835;20;19.05;
18;2.2825;24;22.85;
19;2.185;23;21.85;
20;1.9875;21;19.95;
21;2.8295;30;28.5;
22;2.1325;23;21.85;
23;2.0345;22;20.9;
24;2.235;24;22.8;
25;2.1855;23;21.85;
26;2.283;24;22.8;
27;2.184;23;21.85;
28;1.9855;21;19.95;
29;2.3825;26;24.7;
30;1.9345;21;19.95;
31;2.033;22;20.9;
32;2.285;24;22.8;
33;2.1865;23;21.85;
34;2.5335;27;25.65;
35;2.084;22;20.9;
36;1.983;21;19.95;
37;1.935;21;19.95;
38;2.3845;25;23.75;
39;2.0875;22;20.9;
40;2.2855;24;22.8;
41;2.0845;22;20.9;
42;2.034;22;20.9;
43;2.582;27;25.65;
44;2.1855;23;21.85;
45;2.7835;30;28.5;
46;2.0885;22;20.9;
47;2.2365;24;22.8;
48;1.885;20;19;
49;1.9835;21;19.95;
50;2.4825;26;24.7;
51;2.088;22;20.9;
52;2.485;26;24.7;
53;2.332;25;23.75;
54;2.182;23;21.85;
55;2.2325;24;22.8;
56;2.186;23;21.85;
57;2.0875;22;20.9;
58;2.4325;26;24.7;
59;2.63;28;26.6;
60;2.1345;23;21.85;
61;2.5845;27;25.65;
62;2.187;23;21.85;
63;1.987;21;19.95;
64;2.033;22;20.9;
65;2.082;22;20.9;
66;2.3315;25;23.75;
67;2.434;26;24.7;
68;2.3355;25;23.75;
69;2.584;27;25.65;
70;3.0295;31;29.45;
71;2.4805;26;24.7;
72;2.582;28;26.6;
73;2.6845;29;27.6;
74;2.7355;29;28.45;
75;2.6855;29;28.95;
76;2.636;28;28;
77;3.1335;33;33;
78;2.437;26;26;
