timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;373.215;197.295;3732.15;193.66;102;1936.6;131.818809523809;70.125;1318.18809523809
2;426.118;417.345;4261.18;221.86;219.5;2218.6;176.438611111111;189.2125;1764.38611111111
3;357.653000000002;121.6;3576.53000000002;185.88;63.5;1858.8;155.723214285714;61.9166666666667;1557.23214285714
4;365.929000000002;105.62;3659.29000000002;190.28;55;1902.8;159.3825;55;1593.825
5;377.463000000002;105.62;3774.63000000002;196.5;55;1965;169.775277777778;55;1697.75277777778
6;370.364000000002;105.62;3703.64000000002;192.4;55;1924;165.435992063492;55;1654.35992063492
7;405.655000000002;105.62;4056.55000000002;210.8;55;2108;179.311031746032;55;1793.11031746032
8;408.028000000002;105.62;4080.28000000002;211.8;55;2118;180.736865079365;55;1807.36865079365
9;419.176000000001;105.62;4191.76000000001;217.8;55;2178;185.310674603175;55;1853.10674603175
10;441.848;105.62;4418.48;229.5;55;2295;194.501428571428;55;1945.01428571428
11;434.841;105.62;4348.41;225.9;55;2259;191.298293650793;55;1912.98293650793
12;438.17;105.62;4381.7;227.7;55;2277;192.768571428571;55;1927.68571428571
13;437.688000000002;105.62;4376.88000000002;227.5;55;2275;192.517023809523;55;1925.17023809523
14;439.140000000002;105.62;4391.40000000002;228;55;2280;193.367619047618;55;1933.67619047618
15;469.297;105.62;4692.97;243.7;55;2437;206.020912698411;55;2060.20912698411
16;371.285000000002;105.62;3712.85000000002;192.7;55;1927;165.477817460317;55;1654.77817460317
17;386.716000000002;105.62;3867.16000000002;200.8;55;2008;171.833412698412;55;1718.33412698412
18;350.234000000002;105.62;3502.34000000002;182;55;1820;156.511706349207;55;1565.11706349207
19;401.395000000002;105.62;4013.95000000002;208.6;55;2086;177.797738095238;55;1777.97738095238
20;403.595000000002;105.62;4035.95000000002;210.3;55;2103;178.432936507937;55;1784.32936507937
21;410.110000000001;105.62;4101.10000000001;213.6;55;2136;181.129404761903;55;1811.29404761903
22;409.967;105.62;4099.67;213.5;55;2135;180.725634920633;55;1807.25634920633
23;313.625;105.62;3136.25;162.9;55;1629;140.755317460318;55;1407.55317460318
24;361.977;174.41;3619.77;187.8;90.5;1878;155.880753968254;74.2369047619048;1558.80753968254
25;403.061000000002;152.785;4030.61000000002;210.5;80;2105;179.923650793651;80;1799.23650793651
26;417.652000000003;146.005;4176.52000000003;217.6;76.5;2176;185.617896825396;76.5;1856.17896825396
27;401.183000000002;146.005;4011.83000000002;208.9;76.5;2089;178.881825396825;76.5;1788.81825396825
28;397.762000000002;146.005;3977.62000000002;207.2;76.5;2072;177.329285714285;76.5;1773.29285714285
29;384.084000000002;146.005;3840.84000000002;200;76.5;2000;171.854325396825;76.5;1718.54325396825
30;467.427000000003;146.005;4674.27000000003;243;76.5;2430;205.608055555555;76.5;2056.08055555555
31;386.134000000002;146.005;3861.34000000002;200.9;76.5;2009;173.384325396825;76.5;1733.84325396825
32;418.800000000003;146.005;4188.00000000003;218.1;76.5;2181;186.54861111111;76.5;1865.4861111111
33;505.185000000002;227.86;5051.85000000002;263.25;118.5;2632.5;220.852579365078;118.5;2208.52579365078
34;342.513;153.81;3425.13;177.9;80;1779;155.716587301587;80;1557.16587301587
35;300.774;153.81;3007.74;156;80;1560;138.121626984127;80;1381.21626984127
36;335.573;153.81;3355.73;174.2;80;1742;152.324722222222;80;1523.24722222222
37;393.567000000002;155.61;3935.67000000002;204.9;82.5;2049;176.631150793651;81.2976190476191;1766.31150793651
38;438.956000000001;227.86;4389.56000000001;228.975;118.5;2289.75;193.459166666667;118.5;1934.59166666667
39;464.441000000002;227.86;4644.41000000002;242.5;118.5;2425;207.184920634921;118.5;2071.84920634921
40;714.915000000002;319.735;7149.15000000002;374.98;165.5;3749.8;309.740119047618;155.2625;3097.40119047618
41;771.498000000002;331.08;7714.98000000002;403.975;171.5;4039.75;331.132380952381;163.053571428572;3311.32380952381
42;861.359000000001;269.760000000001;8613.59000000001;451.7;140;4517;370.953809523809;129.7625;3709.53809523809
43;881.779000000002;278.370000000001;8817.79000000002;461.5;144.5;4615;381.145396825397;133.325;3811.45396825397
44;978.154999999999;268.810000000001;9781.54999999999;510.4;139.5;5104;413.744246031747;129.3875;4137.44246031747
45;894.071000000003;282.905;8940.71000000003;465.8;147;4658;385.852063492065;134.304166666667;3858.52063492065
46;940.765000000001;361.64;9407.65000000001;490.2;188.5;4902;406.807341269843;168.395833333333;4068.07341269843
47;1074.74;588.910000000001;10747.4;560.5;304.5;5605;460.540952380952;249.136904761905;4605.40952380952
48;1034.024;523.870000000001;10340.24;539.2;272.5;5392;446.108730158731;234.050000000001;4461.08730158731
49;981.802000000003;381.620000000001;9818.02000000003;512.1;199;5121;424.067063492065;171.6375;4240.67063492065
50;985.499000000005;382.695000000001;9854.99000000005;513.7;199.5;5137;425.450436507937;172.158333333334;4254.50436507937
51;1020.27500000001;445.780000000001;10202.7500000001;532.1;233;5321;439.225317460318;199.507738095238;4392.25317460318
52;1104.78100000001;600.255000000001;11047.8100000001;578.2;309.5;5782;476.382936507937;263.88373015873;4763.82936507936
53;1453.58300000001;1492.25500000002;14535.8300000001;761.875;776.5;7618.75;612.258611111111;632.963888888891;6122.58611111111
54;1524.17500000001;1535.70000000002;15241.7500000001;799.3;799;7993;652.053730158727;651.642460317459;6520.53730158727
55;1646.616;1465.59000000002;16466.16;863.6;764.5;8636;699.919404761904;646.893452380956;6999.19404761904
56;1428.786;1065.95500000001;14287.86;749.6;554.5;7496;617.974484126982;452.951587301587;6179.74484126982
57;1334.47900000001;797.09;13344.7900000001;700.2;413.5;7002;578.284126984126;340.103968253969;5782.84126984126
58;1268.05500000001;803.785000000001;12680.5500000001;665.7;417;6657;550.787936507935;343.137301587302;5507.87936507935
59;1343.10600000001;818.170000000001;13431.0600000001;705.6;424.5;7056;582.899682539682;348.707936507936;5828.99682539682
60;1372.886;792.400000000001;13728.86;721.3;411;7213;595.882976190474;338.957142857143;5958.82976190474
