timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;0.27994;0.27994;0.27994;8.4;8.4;8.4;6.16666666666667;6.16666666666667;6.16666666666667
2;0.55972;0.55972;0.55972;15.2;15.2;15.2;11.3333333333333;11.3333333333333;11.3333333333333
3;0.63958;0.63958;0.63958;15.8;15.8;15.8;11.1666666666667;11.1666666666667;11.1666666666667
4;0.7589;0.7589;0.7589;19;19;19;11.6666666666667;11.6666666666667;11.6666666666667
5;0.439;0.439;0.439;12;12;12;8;8;8
6;0.59808;0.59808;0.59808;16;16;16;11.6666666666667;11.6666666666667;11.6666666666667
7;0.5581;0.5581;0.5581;14;14;14;12;12;12
8;0.63786;0.63786;0.63786;16;16;16;12.5;12.5;12.5
9;0.59772;0.59772;0.59772;15;15;15;12;12;12
10;0.63718;0.63718;0.63718;16;16;16;12.5;12.5;12.5
11;0.65646;0.65646;0.65646;17;17;17;13.5;13.5;13.5
