timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;0.238980158730159;0.174738095238095;0.716940476190476;102.416666666667;74;307.25;82.2555555555554;61.3333333333333;246.766666666666
2;0.377178571428571;0.377178571428571;0.377178571428571;164;164;164;91;91;91
3;0.377202380952381;0.377202380952381;0.377202380952381;164;164;164;91;91;91
4;0.377178571428571;0.377178571428571;0.377178571428571;164;164;164;91;91;91
5;0.37272619047619;0.37272619047619;0.37272619047619;162;162;162;90;90;90
6;0.395678571428571;0.395678571428571;0.395678571428571;172;172;172;95;95;95
7;0.374797619047619;0.374797619047619;0.374797619047619;163;163;163;90.5;90.5;90.5
8;0.372571428571428;0.372571428571428;0.372571428571428;162;162;162;90;90;90
9;0.381809523809523;0.381809523809523;0.381809523809523;166;166;166;92;92;92
10;0.372571428571428;0.372571428571428;0.372571428571428;162;162;162;90;90;90
11;0.34025;0.34025;0.34025;148;148;148;83;83;83
12;0.310261904761904;0.310261904761904;0.310261904761904;135;135;135;76.5;76.5;76.5
13;0.342607142857143;0.342607142857143;0.342607142857143;149;149;149;83.5;83.5;83.5
14;0.372571428571428;0.372571428571428;0.372571428571428;162;162;162;90;90;90
