timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;2.61759166666666;3.03229166666667;13.0879583333333;396.8;438;1984;268.59380952381;299.585714285714;1342.96904761905
2;4.91928125;4.92308333333332;19.677125;725.25;735.5;2901;516.304166666667;515.208333333335;2065.21666666667
3;4.70065625;4.48183333333332;18.802625;696;672;2784;501.783333333335;484.06666666667;2007.13333333334
4;5.37879166666666;5.86275000000002;16.136375;782;871;2346;569.933333333333;647;1709.8
5;6.12277083333337;6.12277083333337;12.2455416666667;904.5;904.5;1809;670.758333333333;670.758333333333;1341.51666666667
6;5.39283333333333;5.39283333333333;10.7856666666667;812;812;1624;593.216666666667;593.216666666667;1186.43333333333
7;4.23695833333333;4.23695833333333;8.47391666666667;650;650;1300;471.166666666667;471.166666666667;942.333333333335
8;3.92260416666667;3.92260416666667;7.84520833333333;604.5;604.5;1209;442.833333333333;442.833333333333;885.666666666667
9;4.03200000000001;4.03200000000001;8.06400000000002;618.5;618.5;1237;453.958333333334;453.958333333334;907.916666666668
10;4.13460416666667;4.13460416666667;8.26920833333335;635;635;1270;464.916666666667;464.916666666667;929.833333333334
11;5.50291666666667;5.50291666666667;5.50291666666667;817;817;817;606.416666666665;606.416666666665;606.416666666665
12;2.58708333333333;2.58708333333333;2.58708333333333;384;384;384;279.666666666666;279.666666666666;279.666666666666
