timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;0.255398351648351;0.301543956043956;1.02159340659341;143.5;167.5;574;95.2083333333333;111.75;380.833333333333
2;0.383931318681319;0.364631868131868;1.53572527472528;208.5;207.5;834;140.625;139.916666666667;562.500000000001
3;0.394118131868131;0.38808791208791;1.57647252747253;214;214;856;144.75;145.166666666667;579.000000000001
4;0.364151098901099;0.365291208791209;1.4566043956044;198.5;186.5;794;134.416666666667;126.833333333334;537.666666666669
5;0.329546703296703;0.323675824175824;1.31818681318681;180;168.5;720;122.083333333333;114.333333333333;488.333333333334
6;0.342983516483516;0.345664835164835;1.37193406593406;187;173.5;748;126.75;118.166666666667;507.000000000001
7;0.357313186813186;0.355406593406594;1.42925274725275;195.25;178.5;781;132.25;121;529
8;0.379313186813186;0.366609890109889;1.51725274725274;207.25;208.5;829;140.25;140.666666666667;561
9;0.406818681318681;0.404923076923077;1.62727472527472;220.75;224.5;883;149.25;151.333333333333;597.000000000001
10;0.368843406593406;0.387928571428572;1.47537362637362;197;189;788;133.416666666667;127.833333333333;533.666666666667
11;0.393107142857142;0.393478021978021;1.57242857142857;208.25;211.5;833;140.916666666667;143;563.666666666666
12;0.411956043956044;0.406857142857142;1.64782417582418;222.5;234;890;150.416666666667;158.166666666667;601.666666666666
13;0.372491758241758;0.354175824175823;1.48996703296703;198.25;189.5;793;134.25;128.666666666667;537.000000000001
14;0.388777472527472;0.359807692307691;1.55510989010989;209.5;215.5;838;141.75;146;567
15;0.420434065934067;0.420434065934067;0.840868131868134;204.5;204.5;409;138.166666666667;138.166666666667;276.333333333333
16;0.34189010989011;0.34189010989011;0.34189010989011;172;172;172;116;116;116
17;0.262197802197802;0.262197802197802;0.262197802197802;132;132;132;89.3333333333334;89.3333333333334;89.3333333333334
18;0.347890109890109;0.347890109890109;0.347890109890109;175;175;175;118;118;118
