timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;2.90579761904762;2.90579761904762;2.90579761904762;59;59;59;12.2916666666667;12.2916666666667;12.2916666666667
2;3.67846428571429;3.67846428571429;3.67846428571429;73;73;73;17.2666666666667;17.2666666666667;17.2666666666667
3;4.582;4.582;4.582;80;80;80;43.9321428571429;43.9321428571429;43.9321428571429
4;6.74445238095237;6.74445238095237;6.74445238095237;116;116;116;96.0392857142856;96.0392857142856;96.0392857142856
5;3.52090476190476;3.52090476190476;3.52090476190476;65;65;65;57.4904761904762;57.4904761904762;57.4904761904762
6;5.74869047619047;5.74869047619047;5.74869047619047;102;102;102;87.3999999999999;87.3999999999999;87.3999999999999
7;5.47442857142857;5.47442857142857;5.47442857142857;95;95;95;82.247619047619;82.247619047619;82.247619047619
8;6.33747619047618;6.33747619047618;6.33747619047618;109;109;109;95.0047619047619;95.0047619047619;95.0047619047619
9;5.29307142857143;5.29307142857143;5.29307142857143;96;96;96;85.547619047619;85.547619047619;85.547619047619
10;6.49964285714285;6.49964285714285;6.49964285714285;116;116;116;102.247619047619;102.247619047619;102.247619047619
11;5.85888095238095;5.85888095238095;5.85888095238095;104;104;104;93.152380952381;93.152380952381;93.152380952381
12;6.14692857142857;6.14692857142857;6.14692857142857;121;121;121;110.785714285714;110.785714285714;110.785714285714
13;5.14559523809524;5.14559523809524;5.14559523809524;99;99;99;93.1428571428572;93.1428571428572;93.1428571428572
