timepoint;mean;median;utility
1;146.029411764706;122.5;9930
2;433.965517241379;490;25170
3;555.714285714286;595;31120
4;630;640;35280
5;735.714285714286;695;41200
6;735;650;41160
7;795.714285714286;805;44560
8;868.571428571429;870;48640
9;848.571428571429;800;47520
10;915;955;51240
11;802.142857142857;765;44920
12;965.714285714286;915;54080
13;968.571428571429;1015;54240
14;997.142857142857;980;55840
15;927.6;960;46380
16;1130.83333333333;1160;54280
17;1081.66666666667;1117.5;51920
18;1052.5;972.5;50520
19;1115.83333333333;1082.5;53560
20;1082.5;1107.5;51960
21;1063.57142857143;1115;44670
22;1126;1020;45040
23;932;1020;37280
24;858;720;34320
25;982;830;39280
26;1022;975;40880
27;1251;1090;50040
28;1226;1295;49040
29;1333;1335;53320
30;1158;1165;46320
31;1260;1175;42840
32;986.538461538462;1025;25650
33;1037.77777777778;1085;18680
34;1010;1010;16160
35;1017;1065;10170
36;500;500;1000
37;0;0;0
