timestamp;utility
1;10
2;210
3;165
4;200
5;325
6;345
7;525
8;555
9;600
10;545
11;835
12;770
13;720
14;705
15;930
16;870
17;885
18;910
19;900
20;870
21;1220
22;1155
23;1010
24;650
25;720
26;650
27;1245
28;1450
29;1180
30;1335
31;1595
32;1610
33;1450
34;1590
35;1565
36;1770
37;1830
38;1585
39;1665
40;1460
41;1525
42;2170
43;1475
44;1750
45;1130
46;1300
47;1275
48;1225
49;1255
50;1445
51;1735
52;1270
53;1425
54;1280
55;1470
56;1135
57;1690
58;1355
59;1365
60;1505
61;1680
62;1175
63;1160
64;1570
65;1700
66;1070
67;1380
68;1830
69;1210
70;1700
